City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,-0.57,93,100,2.06,CA,1699180500
83,bethel,41.3712,-73.414,9.2,84,100,0.0,US,1699180501
84,cabo san lucas,22.8909,-109.9124,26.4,77,100,5.82,MX,1699180504
85,kailua-kona,19.6406,-155.9956,25.98,76,100,3.6,US,1699180499
86,hirara,24.8,125.2833,24.15,83,20,2.06,JP,1699180507
87,ribeira grande,38.5167,-28.7,16.54,63,40,2.24,PT,1699180508
88,kimbe,-5.5502,150.1429,25.32,93,100,1.36,PG,1699180510
89,anadyr,64.75,177.4833,-4.72,74,100,5.0,RU,1699180511
90,carnarvon,-24.8667,113.6333,22.02,81,45,6.91,AU,1699180513
91,awjilah,29.1081,21.2869,32.03,16,2,4.19,LY,1699180515
92,atafu village,-8.5421,-172.5159,28.71,76,22,3.82,TK,1699180517
93,port elizabeth,-33.918,25.5701,23.94,68,0,6.17,ZA,1699179887
94,ballina,-28.8667,153.5667,17.1,81,100,5.23,AU,1699180520
95,uturoa,-16.7333,-151.4333,25.33,84,87,7.57,PF,1699180521
96,qoryooley,1.7878,44.53,31.13,55,100,4.56,SO,1699180522
97,la gomera,14.0833,-91.05,24.31,79,100,1.85,GT,1699180523
98,basco,20.4487,121.9702,27.78,74,79,7.24,PH,1699180524
99,manadhoo,5.7667,73.3833,27.24,81,99,2.78,MV,1699180526
100,khandyga,62.6667,135.6,-20.56,99,100,0.49,RU,1699180527
101,nagqu,31.5,92.0,-6.34,67,100,2.03,CN,1699180528
102,ghanzi,-21.5667,21.7833,32.63,30,9,6.31,BW,1699180530
103,keminmaa,65.8596,24.8228,2.87,100,100,4.63,FI,1699180534
104,detroit lakes,46.8172,-95.8453,0.03,88,20,4.12,US,1699180535
105,letterkenny,54.95,-7.7333,9.94,85,88,2.42,IE,1699180537
106,saipan,15.1355,145.701,28.39,78,20,6.17,MP,1699180539
107,badger,64.8,-147.5333,-5.86,66,100,6.17,US,1699180545
108,faya-largeau,17.9257,19.1043,34.94,11,0,4.12,TD,1699180547
109,ancud,-41.8697,-73.8203,8.1,93,100,2.0,CL,1699180549
110,nouadhibou,20.931,-17.0347,21.99,68,5,9.26,MR,1699180550
111,amga,60.8953,131.9608,-17.27,96,100,2.52,RU,1699180552
112,hithadhoo,-0.6,73.0833,27.44,81,97,6.9,MV,1699180553
113,udachny,66.4167,112.4,-12.12,94,100,6.2,RU,1699180409
114,port blair,11.6667,92.75,30.02,79,40,3.09,IN,1699180555
115,kourou,5.1552,-52.6478,26.03,83,24,2.82,GF,1699180556
116,rehoboth,-23.3167,17.0833,32.01,9,0,9.3,NA,1699180558
117,port lincoln,-34.7333,135.8667,13.99,83,97,3.53,AU,1699180559
118,geraldton,-28.7667,114.6,21.23,73,100,4.63,AU,1699180560
119,kone,-21.0595,164.8658,21.77,75,82,2.28,NC,1699180561
120,weno,7.4515,151.8468,28.89,78,96,5.23,FM,1699180563
121,remire-montjoly,4.9167,-52.2667,26.02,94,100,0.51,GF,1699180565
122,general levalle,-34.0147,-63.9241,14.79,58,65,7.08,AR,1699180566
123,bukama,-9.2,25.85,30.51,54,85,2.33,CD,1699180567
124,hasaki,35.7333,140.8333,21.27,75,29,1.49,JP,1699180568
125,soe,-9.8607,124.284,21.16,61,5,2.17,ID,1699180570
126,blonie,52.1985,20.6171,10.06,87,100,4.16,PL,1699180572
127,peace river,56.2501,-117.286,0.36,100,100,4.12,CA,1699180573
128,prince rupert,54.3161,-130.3201,11.05,83,100,17.49,CA,1699180576
129,mandalgovi,45.7625,106.2708,-11.28,58,20,2.46,MN,1699180578
130,isafjordur,66.0755,-23.124,-0.98,93,100,10.29,IS,1699180579
131,carbonear,47.7332,-53.2148,8.57,96,99,1.52,CA,1699180580
132,kazan,55.7887,49.1221,4.3,57,11,5.07,RU,1699179962
133,severo-yeniseyskiy,60.3725,93.0408,-8.01,92,100,4.92,RU,1699180582
134,igarka,67.4667,86.5833,-11.63,94,99,5.41,RU,1699180583
135,enewetak,11.3474,162.3373,28.64,72,70,9.14,MH,1699180584
136,mount gambier,-37.8333,140.7667,13.09,81,27,4.11,AU,1699180588
137,imbituba,-28.24,-48.6703,18.83,68,0,4.87,BR,1699180589
138,enguera,38.9797,-0.6868,17.45,43,1,10.75,ES,1699180590
139,nova vicosa,-17.8919,-39.3719,26.3,80,93,1.29,BR,1699180592
140,talnakh,69.4865,88.3972,-11.67,95,99,2.28,RU,1699180594
141,zhangjiajie,29.1294,110.4783,17.11,95,100,1.48,CN,1699180595
142,aykhal,66.0,111.5,-13.13,95,100,4.35,RU,1699180597
143,haiku-pauwela,20.9219,-156.3051,25.02,68,20,9.26,US,1699180598
144,albany,42.6001,-73.9662,7.93,82,99,0.65,US,1699180599
145,reggane,26.7158,0.1714,34.62,8,0,3.4,DZ,1699180600
146,port saint john's,-31.6229,29.5448,21.29,79,73,3.06,ZA,1699180601
147,port mathurin,-19.6833,63.4167,25.17,79,100,4.96,MU,1699180602
148,renfrew,55.872,-4.3925,9.64,91,98,1.03,GB,1699180604
149,hawaiian paradise park,19.5933,-154.9731,23.73,83,100,2.06,US,1699180606
150,arhribs,36.7936,4.3116,21.04,58,59,7.64,DZ,1699180607
151,gladstone,-23.85,151.25,23.96,73,75,6.17,AU,1699180609
152,kasongo-lunda,-6.4667,16.8167,21.87,98,100,1.25,CD,1699180610
153,meadow lake,34.8014,-106.5436,12.7,37,0,0.96,US,1699180611
154,penn yan,42.6609,-77.0539,9.01,84,100,1.54,US,1699180612
155,rivera,-30.9053,-55.5508,13.4,77,8,3.25,UY,1699180615
156,binuangan,8.9153,124.7883,28.25,78,35,3.03,PH,1699180616
157,muynoq,43.7683,59.0214,14.88,43,32,5.58,UZ,1699180618
158,xiaoweizhai,26.1903,107.5125,18.61,84,28,1.91,CN,1699180619
159,zhanaozen,43.3,52.8,20.92,33,90,5.38,KZ,1699180621
160,naze,28.3667,129.4833,23.51,73,18,5.11,JP,1699180624
161,sarmiento,-45.5882,-69.07,9.35,47,6,8.4,AR,1699180625
162,daru,-9.0763,143.2092,25.44,86,100,6.74,PG,1699180627
163,tulcingo de valle,18.05,-98.4333,16.41,75,49,1.29,MX,1699180628
164,khirkiyan,22.1667,76.85,30.12,30,26,3.48,IN,1699180629
165,tamanrasset,22.785,5.5228,26.95,11,0,5.14,DZ,1699180631
166,constantia,44.1833,28.65,19.38,59,8,7.5,RO,1699180632
167,robertsport,6.7533,-11.3686,28.54,70,24,1.8,LR,1699180633
168,lebu,-37.6167,-73.65,11.74,89,100,5.19,CL,1699180634
169,knyaze-volkonskoye,48.4642,135.4567,-5.0,55,100,3.58,RU,1699180636
170,timbuktu,16.7735,-3.0074,35.33,8,7,1.82,ML,1699180638
171,enshi,30.3,109.4833,15.9,94,87,1.46,CN,1699180640
172,ilulissat,69.2167,-51.1,-5.99,53,40,1.03,GL,1699180642
173,nemuro,43.3236,145.575,9.38,77,65,4.26,JP,1699180645
174,pasuquin,18.3328,120.6177,29.97,79,40,1.03,PH,1699180646
175,srikakulam,18.3,83.9,27.89,73,17,4.54,IN,1699180647
176,alva,56.1528,-3.8051,8.91,95,99,0.89,GB,1699180648
177,tartu,58.3806,26.7251,7.4,79,75,1.03,EE,1699180649
178,port douglas,-16.4833,145.4667,24.13,78,95,3.98,AU,1699180651
179,ribeira brava,32.65,-17.0667,21.67,76,91,3.61,PT,1699180652
180,lihue,21.9789,-159.3672,24.77,81,20,7.2,US,1699180485
181,kununurra,-15.7667,128.7333,32.99,46,100,2.57,AU,1699180655
182,sao joao da barra,-21.6403,-41.0511,24.05,76,97,6.62,BR,1699180656
183,lichinga,-13.3128,35.2406,26.05,47,40,3.09,MZ,1699180592
184,annau,37.8876,58.516,22.72,27,20,3.09,TM,1699180658
185,tura,25.5198,90.2201,21.53,80,0,1.51,IN,1699180661
186,quellon,-43.1167,-73.6167,8.41,91,100,4.28,CL,1699180662
187,aripuana,-9.1667,-60.6333,25.66,71,85,0.81,BR,1699180664
188,betioky,-23.7167,44.3833,35.24,24,96,3.94,MG,1699180665
189,mar del plata,-38.0023,-57.5575,14.49,92,75,5.36,AR,1699180666
190,dwarka,22.2394,68.9678,31.35,39,3,5.65,IN,1699180668
191,kavaratti,10.5669,72.642,27.03,78,100,4.53,IN,1699180669
192,nikolayevsk-on-amure,53.1406,140.73,-10.12,63,51,6.07,RU,1699180671
193,berdigestyakh,62.0989,126.6992,-22.65,100,100,1.56,RU,1699180672
194,keflavik,64.0049,-22.5624,3.95,75,0,13.38,IS,1699180673
195,cockburn town,21.4612,-71.1419,27.93,73,37,7.45,TC,1699180675
196,alupka,44.4167,34.05,19.14,74,43,5.01,UA,1699180678
197,plymouth,41.8334,-70.8328,9.48,92,100,0.0,US,1699180381
198,imzouren,35.1463,-3.8497,19.6,60,75,2.57,MA,1699180681
199,minas de marcona,-15.2119,-75.1103,13.25,86,100,4.85,PE,1699180682
200,nizhneudinsk,54.9076,99.0276,-4.41,93,100,0.99,RU,1699180427
201,vernon,50.2581,-119.2691,8.12,93,100,2.57,CA,1699180685
202,altagracia de orituco,9.8601,-66.3814,22.23,96,92,0.82,VE,1699180687
203,el calafate,-50.3408,-72.2768,5.24,62,3,3.01,AR,1699180688
204,alghero,40.5589,8.3181,22.05,49,20,8.23,IT,1699180689
205,champerico,14.3,-91.9167,25.63,76,100,3.05,GT,1699180690
206,al bawiti,28.3492,28.8659,31.84,15,4,4.54,EG,1699180691
207,arraial do cabo,-22.9661,-42.0278,22.98,73,40,7.2,BR,1699180693
208,eyl,7.9803,49.8164,29.34,68,64,7.42,SO,1699180694
209,castillos,-34.1667,-53.8333,12.93,70,0,1.03,UY,1699180695
210,cova figueira,14.8905,-24.2934,24.1,74,0,6.62,CV,1699180697
211,raisinghnagar,29.5358,73.4492,31.81,14,0,0.22,IN,1699180699
212,qaqortoq,60.7167,-46.0333,-0.27,44,100,9.88,GL,1699180700
213,hammerfest,70.6634,23.6821,-1.75,74,75,2.06,NO,1699180701
214,avarua,-21.2078,-159.775,22.03,64,20,6.17,CK,1699180702
215,oamaru,-45.0784,170.9801,6.88,86,91,1.97,NZ,1699180704
216,grand-bourg,15.8835,-61.3148,23.97,78,21,7.43,GP,1699180705
217,mana,5.6592,-53.7767,27.1,89,36,3.52,GF,1699180706
218,kaspiysk,42.8816,47.6392,17.1,77,20,5.0,RU,1699180457
219,sargatskoye,55.6101,73.4972,-2.25,86,44,3.29,RU,1699180710
220,russellville,35.2784,-93.1338,10.55,91,0,0.0,US,1699180715
221,boa vista,2.8197,-60.6733,26.99,74,0,2.57,BR,1699180716
222,alice springs,-23.7,133.8833,29.75,10,0,4.12,AU,1699180718
